interval;average.steps
1;0;1.71698113207547
2;5;0.339622641509434
3;10;0.132075471698113
4;15;0.150943396226415
5;20;0.0754716981132075
6;25;2.09433962264151
7;30;0.528301886792453
8;35;0.867924528301887
9;40;0
10;45;1.47169811320755
11;50;0.30188679245283
12;55;0.132075471698113
13;100;0.320754716981132
14;105;0.679245283018868
15;110;0.150943396226415
16;115;0.339622641509434
17;120;0
18;125;1.11320754716981
19;130;1.83018867924528
20;135;0.169811320754717
21;140;0.169811320754717
22;145;0.377358490566038
23;150;0.264150943396226
24;155;0
25;200;0
26;205;0
27;210;1.13207547169811
28;215;0
29;220;0
30;225;0.132075471698113
31;230;0
32;235;0.226415094339623
33;240;0
34;245;0
35;250;1.54716981132075
36;255;0.943396226415094
37;300;0
38;305;0
39;310;0
40;315;0
41;320;0.207547169811321
42;325;0.622641509433962
43;330;1.62264150943396
44;335;0.584905660377358
45;340;0.490566037735849
46;345;0.0754716981132075
47;350;0
48;355;0
49;400;1.18867924528302
50;405;0.943396226415094
51;410;2.56603773584906
52;415;0
53;420;0.339622641509434
54;425;0.358490566037736
55;430;4.11320754716981
56;435;0.660377358490566
57;440;3.49056603773585
58;445;0.830188679245283
59;450;3.11320754716981
60;455;1.11320754716981
61;500;0
62;505;1.56603773584906
63;510;3
64;515;2.24528301886792
65;520;3.32075471698113
66;525;2.9622641509434
67;530;2.09433962264151
68;535;6.05660377358491
69;540;16.0188679245283
70;545;18.3396226415094
71;550;39.4528301886792
72;555;44.4905660377358
73;600;31.4905660377358
74;605;49.2641509433962
75;610;53.7735849056604
76;615;63.4528301886792
77;620;49.9622641509434
78;625;47.0754716981132
79;630;52.1509433962264
80;635;39.3396226415094
81;640;44.0188679245283
82;645;44.1698113207547
83;650;37.3584905660377
84;655;49.0377358490566
85;700;43.811320754717
86;705;44.377358490566
87;710;50.5094339622642
88;715;54.5094339622642
89;720;49.9245283018868
90;725;50.9811320754717
91;730;55.6792452830189
92;735;44.3207547169811
93;740;52.2641509433962
94;745;69.5471698113208
95;750;57.8490566037736
96;755;56.1509433962264
97;800;73.377358490566
98;805;68.2075471698113
99;810;129.433962264151
100;815;157.528301886792
101;820;171.150943396226
102;825;155.396226415094
103;830;177.301886792453
104;835;206.169811320755
105;840;195.924528301887
106;845;179.566037735849
107;850;183.396226415094
108;855;167.018867924528
109;900;143.452830188679
110;905;124.037735849057
111;910;109.11320754717
112;915;108.11320754717
113;920;103.716981132075
114;925;95.9622641509434
115;930;66.2075471698113
116;935;45.2264150943396
117;940;24.7924528301887
118;945;38.7547169811321
119;950;34.9811320754717
120;955;21.0566037735849
121;1000;40.5660377358491
122;1005;26.9811320754717
123;1010;42.4150943396226
124;1015;52.6603773584906
125;1020;38.9245283018868
126;1025;50.7924528301887
127;1030;44.2830188679245
128;1035;37.4150943396226
129;1040;34.6981132075472
130;1045;28.3396226415094
131;1050;25.0943396226415
